HSA (M),Delta Abs (meas),Delta Abs (fit),[ICG_free],[HSA·ICG],[HSA·ICG2],Fraction Bound
0.0,0.0,0.00021796204167169047,9.81e-07,0.0,0.0,0.0
1.0000000000000001e-07,0.012,0.011445698062113036,8.505300611506278e-07,5.2494349503593243e-08,3.898779467288956e-08,0.13299687956103196
1.2e-06,0.0461,0.04783531240894041,4.276709246391349e-07,3.1674798598173064e-07,1.1829054468956718e-07,0.5640459483800867
2.4e-06,0.0566,0.058741315155609604,3.009396309162989e-07,4.457727495749446e-07,1.1714380975437821e-07,0.6932317727662599
3.5e-06,0.0662,0.06389472139480189,2.410553768093912e-07,5.207241956847232e-07,1.0961021375294279e-07,0.7542758646183575
4.6e-06,0.0707,0.06720883748675736,2.0254427153670485e-07,5.750434843164377e-07,1.0170612207342875e-07,0.7935328526639095
5.6e-06,0.0732,0.06936629563267789,1.7747390723032485e-07,6.134023397991973e-07,9.506187648523902e-08,0.8190887795817282
8.5e-06,0.0693,0.07331075244145581,1.3163803812026545e-07,6.905946623389758e-07,7.938364977037935e-08,0.865812397430922
1.13e-05,0.074,0.07552631427835792,1.0589249005506832e-07,7.385271996168104e-07,6.829015516406074e-08,0.8920565850610926
1.9699999999999998e-05,0.0792,0.0788515295354468,6.725240887899365e-08,8.177055799999095e-07,4.802100556054838e-08,0.9314450470142775
3.95e-05,0.0806,0.08150420195820718,3.642749385116795e-08,8.880742539712501e-07,2.8249126088790898e-08,0.9628669787449866
5.6399999999999995e-05,0.0742,0.08238202096236809,2.6226951944484768e-08,9.129559323015648e-07,2.0908557876975284e-08,0.973265084664134
0.00011279999999999999,0.0899,0.08347087827902328,1.3574076310336193e-08,9.450227780389535e-07,1.1201572825355186e-08,0.9861630210903811
0.00022559999999999998,0.0858,0.08404416205912144,6.9123326073700554e-09,9.62468696064713e-07,5.809485663958591e-09,0.9929537893910604
